ETA,SIGMA,N,mse,esp_neuronal
0.125,3.0,22000,0.09234056714075525,22.763005306744038
0.125,3.0,23000,0.09995206351391749,22.442397116297787
0.125,3.0,24000,0.10314206360323011,23.23060392790129
0.125,3.0,25000,0.11054519255880182,22.217586143810657
0.125,3.0,26000,0.10310208591846975,22.12089955809404
0.125,3.0,27000,0.10571853674731473,21.976070295601975
0.125,3.0,28000,0.09783852332565839,22.91659947010053
0.125,3.0,29000,0.09539712052013317,22.31785003162144
0.125,3.0,30000,0.1009198156570183,21.064743640043314
0.125,3.0,31000,0.11341477624713782,22.367894227458372
0.125,3.0,32000,0.09160854189936568,21.622781046988223
0.125,3.0,33000,0.09971523960162547,22.36044477612747
0.125,3.0,34000,0.1030719809928474,21.84355295790475
0.125,3.0,35000,0.09047151903106589,22.461940520842585
0.125,3.0,36000,0.10386477778345007,22.997017276685337
0.125,3.0,37000,0.11788153830413971,22.286277741167186
0.125,3.0,38000,0.08973272552369455,22.55264706579714
0.125,3.0,39000,0.09441258200831995,21.887195768965608
0.125,3.0,40000,0.10703684364371555,21.515328254007425
0.125,3.0,41000,0.10576720945615614,21.696616698534978
0.125,3.0,42000,0.10333810120976812,21.844770178676832
0.125,3.0,43000,0.09476995683733673,21.34033641065109
0.125,3.0,44000,0.10647005897635614,22.3143416711421
0.125,3.0,45000,0.10461898151954802,21.967896615528606
0.125,3.0,46000,0.10518615785193691,22.034583886931056
0.125,3.0,47000,0.10248503244740775,21.336899483380723
0.125,3.0,48000,0.09105542624844952,21.43126347243946
0.125,3.0,49000,0.10614429720971179,22.344689910697547
0.125,4.0,1000,0.1806133595770917,18.572715545265837
0.125,4.0,2000,0.1566214380015217,19.482606911795678
0.125,4.0,3000,0.18425912738014577,17.628658498762103
0.125,4.0,4000,0.18430572613190355,18.699315241689575
0.125,4.0,5000,0.15873900843182406,18.85924495255104
0.125,4.0,6000,0.19445726486040493,19.162416879435614
0.125,4.0,7000,0.16835974330719441,17.94919928773581
0.125,4.0,8000,0.18520771309397874,18.850681336424923
0.125,4.0,9000,0.17336675568695115,17.490889335768465
