ETA,SIGMA,N,mse,esp_neuronal
0.125,0.3,6000,0.005887429171205106,130.33225057076584
0.125,0.3,7000,0.005930592210183312,126.13437100271915
0.125,0.3,8000,0.00575015110176345,121.65517856189214
0.125,0.3,9000,0.005603565269547302,117.94656363319548
0.125,0.3,10000,0.005832085279713596,108.40151768149234
0.125,0.3,11000,0.00566714812152736,107.71520852841948
0.125,0.3,12000,0.0056398963127072535,103.04522705869692
0.125,0.3,13000,0.005658102160724178,98.9515717144095
0.125,0.3,14000,0.005656595100746842,96.82624510855909
0.125,0.3,15000,0.005448985741666082,93.36882337245558
0.125,0.3,16000,0.005481011093513497,92.47115641002718
0.125,0.3,17000,0.0053823119489913775,91.22425600198548
0.125,0.3,18000,0.005335499128999104,90.00779833982699
0.125,0.3,19000,0.005394927447045606,88.41910162914424
0.125,0.3,20000,0.005422953278632475,88.0656392830949
0.125,0.3,21000,0.005448062156416313,85.91857956326497
0.125,0.3,22000,0.005235441178178568,85.99984345510546
0.125,0.3,23000,0.005492324394292643,85.3499425722457
0.125,0.3,24000,0.005384958419167244,82.49021938504913
0.125,0.3,25000,0.005378372096827857,77.97644119184797
0.125,0.3,26000,0.005335846643674003,79.64022121590024
0.125,0.3,27000,0.00532271667702226,78.69534376247603
0.125,0.3,28000,0.00538049978947415,79.2851740009804
0.125,0.3,29000,0.005357431771380136,78.93552305758097
0.125,0.3,30000,0.005206144763964425,77.73504368459983
0.125,0.3,31000,0.005397910677242019,75.78379286122413
0.125,0.3,32000,0.005295578267747547,77.63858432411766
0.125,0.3,33000,0.0053421782707683135,78.11580403657089
0.125,0.3,34000,0.00537400149738258,79.16504903135319
0.125,0.3,35000,0.005173023328076821,77.53627299136103
0.125,0.3,36000,0.00532675365550835,76.50757402985472
0.125,0.3,37000,0.005397092545549013,75.90675074445603
0.125,0.3,38000,0.005248043789911723,73.09879374990764
0.125,0.3,39000,0.0053285938504634795,75.12503424211603
0.125,0.3,40000,0.005377326445606914,76.66404127955775
0.125,0.3,41000,0.005333462643609728,73.84898886968021
0.125,0.3,42000,0.005379634101327709,73.85989320871103
0.125,0.3,43000,0.005383416402939325,75.15903304554386
0.125,0.3,44000,0.005358846512771574,76.07120236851824
0.125,0.3,45000,0.005229683165423414,71.02315587582859
0.125,0.3,46000,0.005292274860103648,70.86098664760773
0.125,0.3,47000,0.005244964514159443,73.03047698538178
0.125,0.3,48000,0.005322045049165598,70.57529379225552
0.125,0.3,49000,0.0052648258822039235,68.50420383202363
0.125,0.4,1000,0.00708912081745068,54.4672562389679
0.125,0.4,2000,0.006580282215918184,51.779436320790516
0.125,0.4,3000,0.006438053220633656,49.588015074404005
0.125,0.4,4000,0.006263689062812543,48.375996939728914
0.125,0.4,5000,0.006199925104719677,46.651302519847796
0.125,0.4,6000,0.006137005628727989,46.43391888934596
0.125,0.4,7000,0.005965046456668861,45.96431768345458
0.125,0.4,8000,0.006000789522781009,45.239727851189436
0.125,0.4,9000,0.006115239921511404,44.640594138479706
0.125,0.4,10000,0.005869578868661062,43.95396691142657
0.125,0.4,11000,0.005981312589987138,44.43697182231974
0.125,0.4,12000,0.0056491751930523556,43.15011709482993
0.125,0.4,13000,0.005965856279156535,43.378222123548106
0.125,0.4,14000,0.005707433501258113,43.24728369356269
0.125,0.4,15000,0.0057152680082664265,42.70350311586198
0.125,0.4,16000,0.005830876475620791,42.68703129497194
0.125,0.4,17000,0.005825365207064745,42.3279345498742
0.125,0.4,18000,0.0057157680058654925,43.021612452576214
0.125,0.4,19000,0.005865160170399994,42.5511618027546
0.125,0.4,20000,0.00565318026215151,42.915668295398525
0.125,0.4,21000,0.0058976237085579825,42.9335922229954
0.125,0.4,22000,0.005738465230278269,42.78127364211782
0.125,0.4,23000,0.005768764966637852,42.183824597342806
0.125,0.4,24000,0.005835520050360287,42.8375431986585
0.125,0.4,25000,0.005783586149173534,42.56841851582774
0.125,0.4,26000,0.005725462162847762,42.5619088030594
0.125,0.4,27000,0.005758507911838683,43.31809222356756
0.125,0.4,28000,0.0058052088521683256,43.265703519953966
0.125,0.4,29000,0.005791789546731582,42.909308337022836
0.125,0.4,30000,0.005727523102669209,42.933858574946505
0.125,0.4,31000,0.005804184917975501,42.30478779439877
0.125,0.4,32000,0.0056767820367734315,43.27633319232091
0.125,0.4,33000,0.0057804454586328725,41.890510148562825
0.125,0.4,34000,0.0057779397453502634,42.83488090877205
0.125,0.4,35000,0.005880720948641441,42.08520966303778
0.125,0.4,36000,0.005765512302433525,42.42287575252627
0.125,0.4,37000,0.005716473381604243,42.49308388514566
0.125,0.4,38000,0.00574365709161197,42.61466406811715
0.125,0.4,39000,0.005748211504143171,42.778352880865164
0.125,0.4,40000,0.0058745813223483115,42.11839992536342
0.125,0.4,41000,0.005839675349681396,42.630649141337216
0.125,0.4,42000,0.005708562284824931,42.57835307020365
0.125,0.4,43000,0.0058270899425860246,42.57728414886223
0.125,0.4,44000,0.00582162861887047,42.83266493739207
0.125,0.4,45000,0.005815873504187339,42.50140888417199
0.125,0.4,46000,0.005750874746309646,42.946507148327086
0.125,0.4,47000,0.005726617987088768,42.621043782620234
0.125,0.4,48000,0.005793460493438858,42.94452676712634
0.125,0.4,49000,0.00586533469012008,43.05859016876888
0.25,1.0,1000,0.014054856006863386,33.39193532730946
0.25,1.0,2000,0.014133732334157352,33.2609246921902
0.25,1.0,3000,0.013725760331264238,33.203662113842256
0.25,1.0,4000,0.01440923633097011,33.10043162110311
0.25,1.0,5000,0.01467521036143113,32.86735753008369
0.25,1.0,6000,0.014277869539353975,33.1701076929541
0.25,1.0,7000,0.013725644990519531,33.880498980127435
0.25,1.0,8000,0.012954393823378834,33.69053787645612
0.25,1.0,9000,0.014204745745948513,32.791160141461695
0.25,1.0,10000,0.016355887374084433,33.527380672052985
0.25,1.0,11000,0.014317399290589753,33.40749419609938
0.25,1.0,12000,0.014000794162383095,33.47672097812737
0.25,1.0,13000,0.013963305331618587,33.5711287590869
0.25,1.0,14000,0.014684509519414772,33.478105962259505
0.25,1.0,15000,0.01330953273079527,33.89754180360753
0.25,1.0,16000,0.014666897615851578,33.05709948908936
0.25,1.0,17000,0.010723361808684993,30.83049913993335
0.25,1.0,18000,0.010666763036696392,30.344401673394913
0.25,1.0,19000,0.01127297561803819,29.864164444576993
0.25,1.0,20000,0.010655515693791619,31.171698984861134
0.25,1.0,21000,0.011668090363521512,30.85585139345937
0.25,1.0,22000,0.010759675027265235,29.65468731552463
0.25,1.0,23000,0.010757458365684723,30.821915840309543
0.25,1.0,24000,0.010572687626213636,30.021223875057867
0.25,1.0,25000,0.00995521925968436,30.72264228937798
0.25,1.0,26000,0.010909625271303474,30.53934528041787
0.25,1.0,27000,0.010653495453698104,30.622632238560385
0.25,1.0,28000,0.010595339359906121,30.93874175198108
0.25,1.0,29000,0.010542185925313877,30.765381712200902
0.25,1.0,30000,0.010428513389725216,31.069923565239314
0.25,1.0,31000,0.01051155000469123,30.889305121298726
0.25,1.0,32000,0.01057593330215432,30.78182717829153
0.25,1.0,33000,0.01058791536133888,30.730033042274073
0.25,1.0,34000,0.010834560507061738,31.00806132085012
0.25,1.0,35000,0.01064609888715815,30.477990853082474
0.25,1.0,36000,0.011802625664334774,30.87227816295652
0.25,1.0,37000,0.010319345051587468,30.469413215544108
0.25,1.0,38000,0.010895191595175515,31.12114292493752
0.25,1.0,39000,0.011060867553342204,31.15867754658701
0.25,1.0,40000,0.010118283846064861,30.668120848119607
0.25,1.0,41000,0.010141106158070137,30.81260873921029
0.25,1.0,42000,0.010598603053673111,31.033382619316107
0.25,1.0,43000,0.010734610336753828,30.891063236828675
0.25,1.0,44000,0.010307693886261267,30.63558060117546
0.25,1.0,45000,0.00975143120718924,31.066735755592
0.25,1.0,46000,0.009868368606923417,30.508448961439814
0.25,1.0,47000,0.011370015373536527,30.971993801870255
0.25,1.0,48000,0.010606632490085952,30.672829438536382
0.25,1.0,49000,0.011374615489367888,30.500839877034544
0.25,2.0,1000,0.032018801315542585,24.50136119073173
0.25,2.0,2000,0.02931062364116558,24.450516461997584
0.25,2.0,3000,0.03771526893760316,23.56612063992344
0.25,2.0,4000,0.02608164660696434,22.459211980027334
0.25,2.0,5000,0.032953605092528995,23.910025833333307
0.25,2.0,6000,0.03453215735657464,23.88457233507192
0.25,2.0,7000,0.034607051967564494,23.827837235803422
0.25,2.0,8000,0.030409893902148707,23.288659503806663
0.25,2.0,9000,0.0300404851445907,23.37473924823969
0.25,2.0,10000,0.0298604465864237,25.3532770282869
0.25,2.0,11000,0.0294583447351385,24.494506545045404
0.25,2.0,12000,0.028070612331019394,23.072179372045102
0.25,2.0,13000,0.030313211817011194,23.074133417327555
0.25,2.0,14000,0.03557390749975011,24.391333028870548
0.25,2.0,15000,0.029466038499610055,24.21791233317627
0.25,2.0,16000,0.02866103077705799,24.719524066921004
0.25,2.0,17000,0.027653434402924486,23.55422352054684
0.25,2.0,18000,0.031132156271014524,21.267529717196766
0.25,2.0,19000,0.02913631856588844,23.838958810826508
0.25,2.0,20000,0.03117907132147679,25.047272945968444
0.25,2.0,21000,0.03337865423276663,23.35209757878889
0.25,2.0,22000,0.024754538929717473,24.002882078980424
0.25,2.0,23000,0.03243367436016595,23.564630516801955
0.25,2.0,24000,0.029348092146314026,24.99105849574306
0.25,2.0,25000,0.027749764853600204,22.750284454786385
0.25,2.0,26000,0.028967946631788682,24.135158419551498
0.25,2.0,27000,0.026960121106819245,23.390835824089223
0.25,2.0,28000,0.029047740961978416,24.779218154935617
0.25,2.0,29000,0.026548057558916795,23.751657752047837
0.25,2.0,30000,0.030334290666673116,23.04459693690617
0.25,2.0,31000,0.030044558886436715,24.713235628377447
0.25,2.0,32000,0.027077386367174636,23.58110985822752
0.25,2.0,33000,0.03279523155632174,22.26876813073096
0.25,2.0,34000,0.03201850762831557,23.14334785449852
0.25,2.0,35000,0.02635230392241255,23.79816181845599
0.25,2.0,36000,0.030117103399050552,24.143110630772636
0.25,2.0,37000,0.02970752267673492,24.661911524955713
0.25,2.0,38000,0.028375158555433384,23.828884277802423
0.25,2.0,39000,0.03219465642188883,24.591293555549104
0.25,2.0,40000,0.0294611623730297,24.10122950241509
0.25,2.0,41000,0.03165712587975363,23.276389202932283
0.25,2.0,42000,0.026608673556880947,24.19800161355982
0.25,2.0,43000,0.032667309071656776,24.226070780028586
0.25,2.0,44000,0.02808020331600898,21.996384691211496
0.25,2.0,45000,0.030639144180325956,23.187009865465527
0.25,2.0,46000,0.030664455699893917,23.61901899234072
0.25,2.0,47000,0.03138914231416049,24.54050258615776
0.25,2.0,48000,0.03235474549755516,23.11266108183617
0.25,2.0,49000,0.03600402017328026,24.333735820195646
0.25,3.0,1000,0.07609322097666195,17.700402381902975
0.25,3.0,2000,0.06724815909537372,18.770379323851625
0.25,3.0,3000,0.06347626396417694,18.156196870654252
0.25,3.0,4000,0.06081036842043162,17.27860985478228
0.25,3.0,5000,0.06049068620923104,19.5543939612425
0.25,3.0,6000,0.058484051060555056,17.188357672021418
