ETA,SIGMA,N,mse,esp_neuronal
0.125,4.0,32000,0.13737688324200437,16.77625983016542
0.125,4.0,33000,0.14729759465068487,16.537118264122146
0.125,4.0,34000,0.14712281976314215,16.499163199358094
0.125,4.0,35000,0.14491839287287595,16.550749113096224
0.125,4.0,36000,0.14872982048411884,16.416924345323498
0.125,4.0,37000,0.14266141500080892,16.506583031170234
0.125,4.0,38000,0.14355676957356844,16.733843280956652
0.125,4.0,39000,0.14468188983233393,16.69290133372332
0.125,4.0,40000,0.14259541553169205,16.753762581160288
0.125,4.0,41000,0.1549042388673205,16.206212350884527
0.125,4.0,42000,0.14949005299953452,16.44807875174796
0.125,4.0,43000,0.14244032093646786,16.919075109320023
0.125,4.0,44000,0.15478998729697682,15.950951295906
0.125,4.0,45000,0.16081018980844808,15.88447137237539
0.125,4.0,46000,0.1463745206525182,16.313603646677894
0.125,4.0,47000,0.1394022944259734,16.916438556711142
0.125,4.0,48000,0.1478544522094578,16.35935035118012
0.125,4.0,49000,0.14586941301835407,16.443220459264346
0.125,0.1,1000,0.012116906443730249,36.88501166175121
0.125,0.1,2000,0.006941447237906004,46.66129697529058
0.125,0.1,3000,0.006131252636759887,54.0178817159804
0.125,0.1,4000,0.005802204379212618,62.13790697880556
0.125,0.1,5000,0.005847817478765084,69.79396020631117
0.125,0.1,6000,0.005730077784120076,76.06176723427451
0.125,0.1,7000,0.005707788176756309,82.16184786952431
0.125,0.1,8000,0.005742442562552337,89.69119161716287
0.125,0.1,9000,0.005618460708838879,97.94030290348806
0.125,0.1,10000,0.005684966452530211,106.76729253417132
0.125,0.1,11000,0.0056627728990639396,111.37629972536793
0.125,0.1,12000,0.0055868450242081025,115.08857291421266
0.125,0.1,13000,0.005570793836237905,123.42359669848847
0.125,0.1,14000,0.005580332675038312,132.29591622571724
0.125,0.1,15000,0.005509583169612329,138.02250884507365
0.125,0.1,16000,0.005472497028747551,145.43884239625712
0.125,0.1,17000,0.005503333233452713,148.71517810827999
0.125,0.1,18000,0.005482629939665232,150.14741743100132
0.125,0.1,19000,0.005539217488885911,148.20529087042377
0.125,0.1,20000,0.005478042544506521,145.56890744515601
0.125,0.1,21000,0.005495888369344712,152.9945331124375
0.125,0.1,22000,0.005491602245878195,155.85076631285537
0.125,0.1,23000,0.005485887478080212,156.4854243052262
